Combo_Name,Selection_Run_ID,Number_of_Tasks,Makespan,CPU_Time
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065119,16,759.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065123,23,1090.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065127,48,2206.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065133,30,1386.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065140,22,934.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065150,68,3356.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065205,68,3486.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065222,88,4164.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065233,11,496.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065237,11,576.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065241,20,950.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065246,9,517.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065253,51,2278.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065305,58,2558.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065315,17,918.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065320,29,1363.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065326,29,1403.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065337,100,4576.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065348,42,1804.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065357,60,2908.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065420,131,5757.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065439,47,2248.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065445,13,736.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065450,19,908.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065455,10,606.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065459,11,496.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065502,28,1196.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065507,10,451.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065510,13,690.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065515,26,1220.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065519,11,542.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065523,20,974.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065527,15,750.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065533,23,1032.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065539,24,1066.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065545,16,796.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065549,3,237.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065552,17,836.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065556,14,748.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065601,20,947.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065606,17,1510.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065611,12,608.0,0.015625
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065615,19,1452.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065619,18,858.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065623,19,964.0,0.0
2x2_slot_random_place_random_10_grasp_ver3_greedy_ver3,20260312065627,11,516.0,0.0
